AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"22759","11","R75, R116, R133, R134, R158, R166, R169, R171, R172, R174, R259","510R","WID SMD 510R 1% 0,063W  BF 1005 (0402)","1005 (0402)","510","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-07510RL"
"22762","5","R121, R156, R170, R173, R175","330R","WID SMD 330R 1% 0,063W  BF 1005 (0402)","1005 (0402)","330","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-13330RL"
"22598","3","R123, R193, R224","12K","WID SMD 12K 1% 0,063W  BF 1005 (0402)","1005 (0402)","12K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"26669","1","R145","49R9","WID SMD 49R9 1% 0,05W BF 0603 (0201)","0603 (0201)","49.9","RESC0603X26N_V","01","P001","Yes","SMT","","TK100","1%","","25V",""
"24675","1","R181","3K92","WID SMD 3K92 1% 0,063W  BF 1005 (0402)","1005 (0402)","3.92K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"26071","1","R182","21K5","WID SMD 21K5 1% 0,063W BF 1005 (0402)","1005 (0402)","21.5K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"25052","1","R290","8K06","WID SMD 8K06 1% 0,063W BF 1005 (0402)","1005 (0402)","8.06K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"34518","7","S1, S2, S3, S4, S5, S6, S8","PTS647SN38SMTR2LFS","PTS647SN38SMTR2LFS","4.50 mm x 4.50 mm","0.05A","PTS647SN38SMTR2LFS","01","P001","","SMT","","SPST","","","12 V DC","PTS647SN38SMTR2LFS"
"34572","1","S7","TDA02H0SB1","TDA02H0SB1","","25 mA","TDA02H0SB1","01","P001","","SMT","","SPST","","","24 V DC","TDA02H0SB1"
"28435","1","S13","TDA04H0SB1","TDA04H0SB1","","25 mA","TDA04H0SB1","01","P001","","SMT","","SPST","","","24 V DC","TDA04H0SB1"
"34750","4","T1, T2, T3, T4","AON7404G","AON7404G","DFN8","20 A","DFN3X3A_8L_EP1","01","P001","","SMT","","","","","20V","AON7404G"
"26772","1","T5","BSS138LT1G","BSS138LT1G","SOT23-3","","SOT95P230X109-3N","01","P001","Yes","SMT","Yes","","","","","BSS138LT1G"
"28043","4","T6, T7, T8, T9","AO7800","AO7800","SC70-6","0.9A","SOT65P210X110-6N","01","P001","","SMT","","","","","20V","AO7800"
"26289","38","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP41, TP42","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","01","P001","","MECH","","","","","",""
"34884","1","U1","A5EE013BB23BE6SCS","A5EE013BB23BE6SCS","VPBGA795","","BGA795C65P34X34_2300X2300X1666","01","P001","","SMT","","","","","Standard (Fixed)","A5EE013BB23BE6SCS"
"34594","2","U2, U3","MT40A512M16TB-062E:R","MT40A512M16TB-062E:R","TFBGA96","1GB","BGA96C80P16X9_1300X750X120B47N","01","P001","Yes","SMT","","","","","1.2V / 2.5V","MT40A512M16TB-062E:R"
"26982","2","U4, U5","AP2152SG-13","AP2152SG-13","SO8","","SOIC127P600X175-8N","01","P001","","SMT","","","","","","AP2152SG-13"
"24840","5","U7, U9, U22, U25, U36","PRTR5V0U2X,215","PRTR5V0U2X,215","SOT143","","SOT190P229X114-4N","01","P001","","SMT","Yes","","","","2/6V","PRTR5V0U2X,215"
"24992","1","U8","USB3320C-EZK","USB3320C-EZK","QFN32","","QFN50P500X500X100-33N-345","01","P001","Yes","SMT","","","","","","USB3320C-EZK"
"34241","5","U10, U18, U19, U21, U33","FS3303-0400-AL-ES","FS3303-0400-AL-ES","LGA12","3 A","MPM3834C","01","P001","","SMT","","","","","","FS3303-0400-AL-ES"
"29041","1","U11","KSZ9031RNXIC","KSZ9031RNXIC","QFN48","","QFN50P700X700X90-49T510X510N","01","P001","","SMT","","","","","","KSZ9031RNXIC"
"27997","1","U12","M93C66-RMC6TG","M93C66-RMC6TG","UFDFPN8","4Kbit","UFDFPN8","01","P001","Yes","SMT","Yes","Microwire","","","1.8V/5.5V","M93C66-RMC6TG"
"28941","1","U13","FT4232H-56Q","FT4232H-56Q","VQFN56","","QFN50P800X800-57T610X610N","01","P001","Yes","SMT","Yes","","","","","FT4232H-56Q"
"35276","1","U14","NVT4858HKZ","NVT4858HKZ","QFN16","","NVT4858HKZ","01","P001","Yes","SMT","","","","","","NVT4858HKZ"
"29137","1","U15","510CCA12M0000CAG","510CCA12M0000CAG","3.2 x 2.5 mm","12M","DFN320X250X110-4N","01","P001","","SMT","","","","","","510CCA12M0000CAG"
"27170","2","U16, U20","SN74AVC4T774RSVR","SN74AVC4T774RSVR","UQFN-16","","QFN40P260X180X55-16N","01","P001","Yes","SMT","","","","","","SN74AVC4T774RSVR"
"34828","1","U17","SI5332B-D-GM1","SI5332B-D-GM1","QFN32","","QFN50P500X500X90-33T350X350N","01","P001","","SMT","","","","","","SI5332B-D-GM1"
"23099","1","U23","TFP410PAP","TFP410PAP","HTQFP64","","QFP50P1200X1200X120-65N","01","P001","","SMT","","","","","3.0 V - 3.6 V","TFP410PAP"
"29426","1","U24","TPD12S016RKTR","TPD12S016RKTR","UFQFN24","","QFN40P400X200X55-24N","01","P001","","SMT","","","","","","TPD12S016RKTR"
"34741","1","U26","PTN5150AHXMP","PTN5150AHXMP","12-XFQFN","","QFN40P160X160X40-12N","01","P001","Yes","SMT","","","","","2.7 V - 5.5 V","PTN5150AHXMP"
"35228","2","U27, U30","D3V3X4U10LP-7","TVS Diode Array 3.3/3V 10-UFDFN","10-XFDFN","","U-DFN2510-10","01","P001","","SMT","","","","","","D3V3X4U10LP-7"
"34267","1","U28","FS1525-0600-A","FS1525-0600-A","6.8 mm x 7.6 mm","25 A","FS1525","01","P001","","SMT","","","","","","FS1525-0600-A"
"34306","2","U29, U46","AP7331-SNG-7","AP7331-SNG-7","UDFN6","0.3 A","AP7331-SNG","01","P001","","SMT","","","","","","AP7331-SNG-7"
"25923","2","U31, U32","LTC4365ITS8#TRMPBF","LTC4365ITS8#TRMPBF","TS8","","TSOT-23-8","01","P001","Yes","SMT","","","","","","LTC4365ITS8#TRMPBF"
"33750","1","U35","AP22980FCF10-7","AP22980FCF10-7","WFQFN10","6 A","AP22980","01","P001","","SMT","","","","","","AP22980FCF10-7"
"28676","1","U37","MT25QU256ABA8E12-1SIT","MT25QU256ABA8E12-1SIT","TFBGA24","256Mb","BGA24C100P5X5_800X600X120N","01","P001","","SMT","","NOR","","","1.7V - 2V","MT25QU256ABA8E12-1SIT"
"25276","1","U38","TPS51206DSQ","TPS51206DSQ","DSQ (S-PWSON-N10)","","SON40P200X200X80-11N","01","P001","Yes","SMT","","","","","","TPS51206DSQT"
"26249","1","U41","24AA025E48T-I/OT","24AA025E48T-I/OT","SOT23-6","2Kbit","SOT95P280X145-6N","01","P001","","SMT","","I2C","","","1,7V/5,5V","24AA025E48T-I/OT"
"27616","1","U42","USB2514B-AEZC","USB2514B-AEZC","QFN50","","QFN50P600X600X100-37T370","01","P001","","SMT","","","","","","USB2514B-AEZC"
"27433","1","U43","24AA128T-I/ST","24AA128T-I/ST","TSSOP8","128Kbit","SOP65P640X120-8N-MC","01","P001","","SMT","","I2C","","","1.7V/5.5V","24AA128T-I/ST"
"32759","1","U44","MAX31760AEE+T","MAX31760AEE+T","SSOP16","","SOP63P600X175-16L49N","01","P001","Yes","SMT","","","","","3.3 V","MAX31760AEE+T"
"27003","1","U45","TCA9544APWR","TCA9544APWR","TSSOP20","","SOP65P640X120-20N","01","P001","Yes","SMT","","","","","","TCA9544APWR"
