AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
26240,2,"R115, R123",11K,"WID SMD 11K 1% 0,063W   BF 1005 (0402)",1005 (0402),11K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
22506,6,"R118, R138, R176, R178, R192, R200",56K,"WID SMD 56K 1% 0,063W  BF 1005 (0402)",1005 (0402),56K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
23126,11,"R120, R140, R146, R155, R157, R356, R389, R449, R459, R463, R467",4K12,"WID SMD 4K12 1% 0,063W  BF 1005 (0402)",1005 (0402),4.12K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25948,2,"R122, R462",4K22,"WID SMD 4K22 1% 0,063W  BF 1005 (0402)",1005 (0402),4.22K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25643,9,"R125, R126, R132, R142, R312, R313, R426, R468, R469",2K05,"WID SMD 2K05 1% 0,063W BF 1005 (0402)",1005 (0402),2.05K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
23160,2,"R128, R133",1K13,"WID SMD 1K13 1% 0,063W  BF 1005 (0402)",1005 (0402),1.13K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
34117,1,R143,3K4,"WID SMD 3K4 1% 0,063W BF 1005 (0402)",1005 (0402),3.4K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
22598,2,"R222, R437",12K,"WID SMD 12K 1% 0,063W  BF 1005 (0402)",1005 (0402),12K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
24671,2,"R273, R274",13K3,"WID SMD 13K3 1% 0,063W  BF 1005 (0402)",1005 (0402),13.3K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
34118,1,R275,8K66,"WID SMD 8K66 1% 0,063W BF 1005 (0402)",1005 (0402),8.66K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25052,1,R290,8K06,"WID SMD 8K06 1% 0,063W BF 1005 (0402)",1005 (0402),8.06K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
29692,2,"R297, R466",7K15,"WID SMD 7K15 1% 0,063W BF 1005 (0402)",1005 (0402),7.15K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
26655,2,"R452, R453",6K49,"WID SMD 6K49 1% 0,063W  BF 1005 (0402)",1005 (0402),6.49K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
34119,1,R454,7K87,"WID SMD 7K87 1% 0,063W BF 1005 (0402)",1005 (0402),7.87K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
26028,1,R455,6K34,"WID SMD 6K34 1% 0,063W  BF 1005 (0402)",1005 (0402),6.34K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
24675,1,R476,3K92,"WID SMD 3K92 1% 0,063W  BF 1005 (0402)",1005 (0402),3.92K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
33741,2,"R477, R478",4K32,"WID SMD 4K32 1% 0,063W BF 1005 (0402)",1005 (0402),4.32K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
34073,2,"R482, R483",2R7,"WID SMD 2R7 1% 0,063W  BF 1005 (0402)",1005 (0402),2.7,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
23156,2,"R485, R486",60K4,"WID SMD 60K4 1% 0,063W BF 1005 (0402)",1005 (0402),60.4K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
34518,7,"S1, S2, S3, S4, S5, S6, S11",PTS647SN38SMTR2LFS,PTS647SN38SMTR2LFS,4.50 mm x 4.50 mm,0.05A,PTS647SN38SMTR2LFS,4,G1E13-A,,SMT,,SPST,,,12 V DC,PTS647SN38SMTR2LFS
